Description,Vendor,Product,Severity,Attack Complexity,Attack Vector,Availability Impact,Confidentiality Impact,Integrity Impact,Privileges Required,Scope,User Interaction
A condition exists in FlashArray Purity whereby a local account intended for initial array configuration remains active potentially allowing a malicious actor to gain elevated privileges.,Pure Storage,FlashArray,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,CHANGED,NONE
A condition exists in FlashArray Purity whereby an attacker can employ a privileged account allowing remote access to the array.,PureStorage,FlashArray,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,CHANGED,NONE
A condition exists in FlashArray Purity whereby a malicious user could use a remote administrative service to create an account on the array allowing privileged access.,PureStorage,FlashArray,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,HIGH,CHANGED,NONE
A condition exists in FlashArray Purity whereby an user with array admin role can execute arbitrary commands remotely to escalate privilege on the array.,PureStorage,FlashArray,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,HIGH,CHANGED,NONE
A condition exists in FlashArray and FlashBlade Purity whereby a malicious user could execute arbitrary commands remotely through a specifically crafted SNMP configuration.,PureStorage,FlashArray,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,HIGH,CHANGED,NONE
A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS software enables a malicious authenticated read-write administrator to store a JavaScript payload using the web interface on Panorama appliances. This enables the impersonation of another authenticated administrator.,Palo Alto Networks,PAN-OS,MEDIUM,LOW,NETWORK,HIGH,HIGH,HIGH,HIGH,UNCHANGED,REQUIRED
"Web sessions in the management interface in Palo Alto Networks PAN-OS software do not expire in certain situations, making it susceptible to unauthorized access.",Palo Alto Networks,PAN-OS,MEDIUM,LOW,PHYSICAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
An improper verification vulnerability in the GlobalProtect gateway feature of Palo Alto Networks PAN-OS software enables a malicious user with stolen credentials to establish a VPN connection from an unauthorized IP address.,Palo Alto Networks,PAN-OS,MEDIUM,LOW,NETWORK,LOW,LOW,LOW,LOW,UNCHANGED,NONE
"A reflected cross-site scripting (XSS) vulnerability in the GlobalProtect portal feature of Palo Alto Networks PAN-OS software enables execution of malicious JavaScript (in the context of a user’s browser) if a user clicks on a malicious link, allowing phishing attacks that could lead to credential theft.",Palo Alto Networks,PAN-OS,MEDIUM,LOW,NETWORK,NONE,NONE,LOW,NONE,UNCHANGED,REQUIRED
"A reflected cross-site scripting (XSS) vulnerability in the Captive Portal feature of Palo Alto Networks PAN-OS software enables execution of malicious JavaScript (in the context of an authenticated Captive Portal user’s browser) if a user clicks on a malicious link, allowing phishing attacks that could lead to credential theft.",Palo Alto Networks,PAN-OS,MEDIUM,LOW,NETWORK,NONE,NONE,LOW,NONE,UNCHANGED,REQUIRED
"Sandro Poppi, member of the AXIS OS Bug Bounty Program, has found that the VAPIX APIs local_list.cgi, create_overlay.cgi and irissetup.cgi was vulnerable for file globbing which could lead to a resource exhaustion attack. Axis has released patched AXIS OS
versions for the highlighted flaw. Please refer to the Axis security advisory
for more information and solution.",Axis Communications AB,AXIS OS,MEDIUM,LOW,NETWORK,HIGH,NONE,NONE,LOW,UNCHANGED,NONE
"Sandro Poppi, member of the AXIS OS Bug Bounty Program, has found that the VAPIX APIs mediaclip.cgi and playclip.cgi was vulnerable for file globbing which could lead to a resource exhaustion attack. Axis has released patched AXIS OS versions for the highlighted flaw. Please refer to the Axis security advisory for more information and solution.",Axis Communications AB,AXIS OS,MEDIUM,LOW,NETWORK,HIGH,NONE,NONE,LOW,UNCHANGED,NONE
"Johan Fagerström, member of the AXIS OS Bug Bounty Program, has found that a O3C feature may expose sensitive traffic between the client (Axis device) and (O3C) server. If O3C is not being used this flaw does not apply. 
Axis has released patched AXIS OS versions for the highlighted flaw. Please refer to the Axis security advisory for more information and solution.",Axis Communications AB,AXIS OS,MEDIUM,LOW,NETWORK,NONE,LOW,NONE,NONE,UNCHANGED,NONE
"Marinus Pfund, member of the AXIS OS Bug Bounty Program, 
has found the VAPIX API ledlimit.cgi was vulnerable for path traversal attacks allowing to list folder/file names on the local file system of the Axis device. 
Axis has released patched AXIS OS versions for the highlighted flaw. Please refer to the Axis security advisory for more information and solution.",Axis Communications AB,AXIS OS,MEDIUM,LOW,NETWORK,NONE,LOW,NONE,LOW,UNCHANGED,NONE
"Improper Link Resolution Before File Access ('Link Following') vulnerability in HYPR Workforce Access on MacOS allows File Manipulation.This issue affects Workforce Access: before 8.7.1.

",HYPR,Workforce Access,MEDIUM,HIGH,LOCAL,LOW,LOW,HIGH,LOW,UNCHANGED,REQUIRED
"
NVIDIA CUDA toolkit for all platforms contains a vulnerability in cuobjdump and nvdisasm where an attacker may cause a crash by tricking a user into reading a malformed ELF file. A successful exploit of this vulnerability may lead to a partial denial of service.

",NVIDIA,NVIDIA CUDA Toolkit,LOW,LOW,LOCAL,LOW,NONE,NONE,NONE,UNCHANGED,REQUIRED
"
NVIDIA CUDA toolkit for all platforms contains a vulnerability in cuobjdump and nvdisasm where an attacker may cause a crash by tricking a user into reading a malformed ELF file. A successful exploit of this vulnerability may lead to a partial denial of service.

",NVIDIA,NVIDIA CUDA Toolkit,LOW,LOW,LOCAL,LOW,NONE,NONE,NONE,UNCHANGED,REQUIRED
"
NVIDIA nvTIFF Library for Windows and Linux contains a vulnerability where improper input validation might enable an attacker to use a specially crafted input file. A successful exploit of this vulnerability might lead to a partial denial of service.

",NVIDIA,nvTIFF Library,LOW,LOW,LOCAL,LOW,NONE,NONE,LOW,UNCHANGED,REQUIRED
"
NVIDIA NeMo framework for Ubuntu contains a vulnerability in tools/asr_webapp where an attacker may cause an allocation of resources without limits or throttling. A successful exploit of this vulnerability may lead to a server-side denial of service.

",NVIDIA,NeMo,HIGH,LOW,NETWORK,HIGH,NONE,NONE,NONE,CHANGED,NONE
"NVIDIA Mellanox OS, ONYX, Skyway, MetroX-2 and MetroX-3 XC contain a vulnerability in ipfilter, where improper ipfilter definitions could enable an attacker to cause a failure by attacking the switch. A successful exploit of this vulnerability might lead to denial of service.",NVIDIA,Mellanox OS,HIGH,LOW,NETWORK,HIGH,NONE,NONE,NONE,UNCHANGED,NONE
"NVIDIA CUDA Toolkit for all platforms contains a vulnerability in nvdisasm, where an attacker can cause an out-of-bounds read issue by deceiving a user into reading a malformed ELF file. A successful exploit of this vulnerability might lead to denial of service.",NVIDIA,NVIDIA CUDA Toolkit,LOW,LOW,LOCAL,LOW,NONE,NONE,NONE,UNCHANGED,REQUIRED
"NVIDIA Mellanox OS, ONYX, Skyway, MetroX-2 and MetroX-3 XC contain a vulnerability in the LDAP AAA component, where a user can cause improper access. A successful exploit of this vulnerability might lead to information disclosure, data tampering, and escalation of privileges.",NVIDIA,Mellanox OS,MEDIUM,HIGH,NETWORK,NONE,LOW,LOW,LOW,UNCHANGED,NONE
"NVIDIA ConnectX Firmware contains a vulnerability where an attacker may cause an improper handling of insufficient privileges issue. A successful exploit of this vulnerability may lead to denial of service, data tampering, and limited information disclosure.",NVIDIA,ConnectX4,HIGH,LOW,ADJACENT_NETWORK,HIGH,LOW,HIGH,LOW,CHANGED,NONE
"NVIDIA ConnectX Host Firmware for the BlueField Data Processing Unit (DPU) contains a vulnerability where an attacker may cause an improper handling of insufficient privileges issue. A successful exploit of this vulnerability may lead to denial of service, data tampering, and limited information disclosure.",NVIDIA,BlueField 1,HIGH,LOW,LOCAL,HIGH,LOW,HIGH,LOW,CHANGED,NONE
"NVIDIA GPU Display Driver for Windows contains a vulnerability in the user mode layer, where an unprivileged regular user can cause an out-of-bounds read. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,"GPU Display Driver, vGPU Software, Cloud Gaming",HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"NVIDIA Jetson Linux contains a vulnerability in NvGPU where error handling paths in GPU MMU mapping code fail to clean up a failed mapping attempt. A successful exploit of this vulnerability may lead to denial of service, code execution, and escalation of privileges.",NVIDIA,"NVIDIA Jetson AGX Xavier series, Jetson Xavier NX, Jetson TX2 series, Jetson TX2 NX, Jetson TX1, Jetson Nano series",HIGH,LOW,LOCAL,LOW,HIGH,HIGH,LOW,CHANGED,NONE
NVIDIA CUDA Toolkit contains a vulnerability in command `cuobjdump` where a user may cause a crash by passing in a malformed ELF file. A successful exploit of this vulnerability may cause an out of bounds read in the unprivileged process memory which could lead to a limited denial of service.,NVIDIA,NVIDIA CUDA Toolkit,LOW,LOW,LOCAL,LOW,NONE,NONE,NONE,UNCHANGED,REQUIRED
NVIDIA CUDA Toolkit contains a vulnerability in command `cuobjdump` where a user may cause an out-of-bound write by passing in a malformed ELF file. A successful exploit of this vulnerability may lead to code execution or denial of service.,NVIDIA,CUDA Toolkit,MEDIUM,LOW,LOCAL,NONE,LOW,LOW,NONE,UNCHANGED,REQUIRED
NVIDIA CUDA Toolkit contains a vulnerability in command 'cuobjdump' where a user may cause a crash or produce incorrect output by passing a malformed ELF file. A successful exploit of this vulnerability may lead to a limited denial of service or data tampering.,NVIDIA,CUDA Toolkit,MEDIUM,LOW,LOCAL,LOW,NONE,LOW,NONE,UNCHANGED,REQUIRED
"NVIDIA Jetson AGX Orin™ and NVIDIA IGX Orin software contain a vulnerability where an attacker can cause an improper input validation issue by escalating certain permissions to a limited degree. A successful exploit of this vulnerability might lead to code execution, denial of service, data corruption, information disclosure, or escalation of privilege.",NVIDIA,"Jetson AGX Orin series (including Jetson Orin NX series, Jetson Orin Nano series)",HIGH,HIGH,LOCAL,HIGH,HIGH,HIGH,HIGH,CHANGED,NONE
"NVIDIA Mellanox OS, ONYX, Skyway, and MetroX-3 XCC contain a vulnerability in the web support, where an attacker can cause a CGI path traversal by a specially crafted URI. A successful exploit of this vulnerability might lead to escalation of privileges and information disclosure.",NVIDIA,Mellanox OS,HIGH,HIGH,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"NVIDIA Hopper HGX for 8-GPU contains a vulnerability in the HGX Management Controller (HMC) that may allow a malicious actor with administrative access on the BMC to access the HMC as an administrator. A successful exploit of this vulnerability may lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,NVIDIA Hopper HGX 8-GPU,HIGH,LOW,LOCAL,HIGH,LOW,HIGH,HIGH,CHANGED,NONE
"NVIDIA CV-CUDA for Ubuntu 20.04, Ubuntu 22.04, and Jetpack contains a vulnerability in Python APIs where a user may cause an uncontrolled resource consumption issue by a long running CV-CUDA Python process. A successful exploit of this vulnerability may lead to denial of service and data loss.",NVIDIA,NVIDIA CV-CUDA,MEDIUM,LOW,LOCAL,HIGH,NONE,LOW,LOW,UNCHANGED,NONE
NVIDIA Triton Inference Server contains a vulnerability where a user may cause an out-of-bounds read issue by releasing a shared memory region while it is in use. A successful exploit of this vulnerability may lead to denial of service.,NVIDIA,Triton Inference Server,MEDIUM,LOW,NETWORK,HIGH,NONE,NONE,HIGH,UNCHANGED,NONE
"NVIDIA GPU Display Driver for Windows contains a vulnerability in the user mode layer, where an unprivileged regular user can cause an out-of-bounds read. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,"GPU, vGPU, and Cloud Gaming",HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"NVIDIA GPU Display Driver for Windows contains a vulnerability in the user mode layer, where an unprivileged regular user can cause an out-of-bounds read. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,"GPU, vGPU, and Cloud Gaming",HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"NVIDIA GPU Display Driver for Windows contains a vulnerability in the user mode layer, where an unprivileged regular user can cause an out-of-bounds read. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,"GPU, vGPU, and Cloud Gaming",HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"NVIDIA GPU Display Driver for Windows contains a vulnerability in the user mode layer, where an unprivileged regular user can cause an out-of-bounds read. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,"GPU, vGPU, and Cloud Gaming",HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"NVIDIA GPU Display Driver for Windows contains a vulnerability in the user mode layer, where an unprivileged regular user can cause an out-of-bounds read. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,"GPU, vGPU, and Cloud Gaming",HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
NVIDIA Delegated Licensing Service for all appliance platforms contains a vulnerability where an attacker may cause an unauthorized action. A successful exploit of this vulnerability may lead to partial denial of service and confidential information disclosure.,NVIDIA,DLS component of NVIDIA License System,HIGH,LOW,ADJACENT_NETWORK,LOW,HIGH,LOW,NONE,UNCHANGED,NONE
NVIDIA CUDA toolkit for Windows and Linux contains a vulnerability in the nvdisasm command line tool where an attacker may cause an improper validation in input issue by tricking the user into running nvdisasm on a malicious ELF file. A successful exploit of this vulnerability may lead to denial of service.,NVIDIA,CUDA Toolkit,LOW,LOW,LOCAL,LOW,NONE,NONE,NONE,UNCHANGED,REQUIRED
"NVIDIA CUDA Toolkit for Windows and Linux contains a vulnerability in the nvdisam command line tool, where a user can cause nvdisasm to read freed memory by running it on a malformed ELF file. A successful exploit of this vulnerability might lead to a limited denial of service.",NVIDIA,CUDA Toolkit,LOW,LOW,LOCAL,LOW,NONE,NONE,NONE,UNCHANGED,REQUIRED
"NVIDIA CUDA Toolkit for Windows and Linux contains a vulnerability in the nvdisam command line tool, where a user can cause a NULL pointer dereference by running nvdisasm on a malformed ELF file. A successful exploit of this vulnerability might lead to a limited denial of service.",NVIDIA,CUDA Toolkit,LOW,LOW,LOCAL,LOW,NONE,NONE,NONE,UNCHANGED,REQUIRED
"NVIDIA GPU Display Driver for Windows and Linux contains a vulnerability which could allow a privileged attacker to escalate permissions. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,"GPU, vGPU, and Cloud Gaming",HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,HIGH,CHANGED,NONE
"NVIDIA vGPU software contains a vulnerability in the GPU kernel driver of the vGPU Manager for all supported hypervisors, where a user of the guest OS can cause an improper input validation by compromising the guest OS kernel. A successful exploit of this vulnerability might lead to code execution, escalation of privileges, data tampering, denial of service, and information disclosure.",NVIDIA,vGPU and Cloud Gaming,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"NVIDIA vGPU software contains a vulnerability in the Virtual GPU Manager that allows a user of the guest OS to access global resources. A successful exploit of this vulnerability might lead to information disclosure, data tampering, and escalation of privileges.",NVIDIA,vGPU and Cloud Gaming,HIGH,LOW,LOCAL,NONE,HIGH,HIGH,LOW,UNCHANGED,NONE
NVIDIA NeMo contains a vulnerability in SaveRestoreConnector where a user may cause a path traversal issue via an unsafe .tar file extraction. A successful exploit of this vulnerability may lead to code execution and data tampering.,NVIDIA,NeMo,MEDIUM,LOW,LOCAL,LOW,LOW,LOW,LOW,CHANGED,NONE
"NVIDIA UFM Enterprise, UFM Appliance, and UFM CyberAI contain a vulnerability where an attacker can cause an improper authentication issue by sending a malformed request through the Ethernet management interface. A successful exploit of this vulnerability might lead to escalation of privileges, data tampering, denial of service, and information disclosure.",NVIDIA,UFM Enterprise GA,HIGH,LOW,ADJACENT_NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
NVIDIA GPU kernel driver for Windows and Linux contains a vulnerability where a potential user-mode attacker could read  a buffer with an incorrect length. A successful exploit of this vulnerability might lead to denial of service.,NVIDIA,"NVIDIA GPU Display Driver, vGPU software",MEDIUM,LOW,LOCAL,HIGH,NONE,NONE,HIGH,UNCHANGED,NONE
"NVIDIA Container Toolkit 1.16.1 or earlier contains a Time-of-check Time-of-Use (TOCTOU) vulnerability when used with default configuration where a specifically crafted container image may gain access to the host file system. This does not impact use cases where CDI is used. A successful exploit of this vulnerability may lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,Container Toolkit,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,LOW,CHANGED,REQUIRED
NVIDIA Container Toolkit 1.16.1 or earlier contains a vulnerability in the default mode of operation allowing a specially crafted container image to create empty files on the host file system. This does not impact use cases where CDI is used. A successful exploit of this vulnerability may lead to data tampering.,NVIDIA,Container Toolkit,MEDIUM,LOW,NETWORK,NONE,NONE,LOW,LOW,CHANGED,REQUIRED
NVIDIA Container Toolkit and NVIDIA GPU Operator for Linux contain a UNIX vulnerability where a specially crafted container image can lead to the creation of unauthorized files on the host. The name and location of the files cannot be controlled by an attacker. A successful exploit of this vulnerability might lead to data tampering.,NVIDIA,NVIDIA Container Toolkit,MEDIUM,LOW,NETWORK,NONE,NONE,LOW,LOW,CHANGED,REQUIRED
"NVIDIA Container Toolkit contains an improper isolation vulnerability where a specially crafted container image could lead to modification of a host binary. A successful exploit of this vulnerability may lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,NVIDIA Container Toolkit,HIGH,HIGH,NETWORK,HIGH,HIGH,HIGH,HIGH,CHANGED,REQUIRED
"NVIDIA Container Toolkit contains an improper isolation vulnerability where a specially crafted container image could lead to untrusted code obtaining read and write access to host devices. This vulnerability is present only when the NVIDIA Container Toolkit is configured in a nondefault way. A successful exploit of this vulnerability may lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,NVIDIA Container Toolkit,HIGH,HIGH,NETWORK,HIGH,HIGH,HIGH,HIGH,CHANGED,REQUIRED
NVIDIA Container Toolkit contains an improper isolation vulnerability where a specially crafted container image could lead to untrusted code running in the host’s network namespace. This vulnerability is present only when the NVIDIA Container Toolkit is configured in a nondefault way. A successful exploit of this vulnerability may lead to denial of service and escalation of privileges.,NVIDIA,NVIDIA Container Toolkit,MEDIUM,HIGH,NETWORK,LOW,LOW,LOW,LOW,CHANGED,REQUIRED
"NVIDIA Base Command Manager contains a missing authentication vulnerability in the CMDaemon component. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,Base Command Manager,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
NVIDIA Base Command Manager and Bright Cluster Manager for Linux contain an insecure temporary file vulnerability. A successful exploit of this vulnerability might lead to denial of service.,NVIDIA,Base Command Manager,MEDIUM,HIGH,LOCAL,HIGH,NONE,NONE,LOW,UNCHANGED,REQUIRED
"NVIDIA RAPIDS contains a vulnerability in cuDF and cuML, where a user could cause a deserialization of untrusted data issue. A successful exploit of this vulnerability might lead to code execution, data tampering, denial of service, and information disclosure.",NVIDIA,RAPIDS cuDF and cuML,MEDIUM,LOW,LOCAL,HIGH,LOW,HIGH,LOW,UNCHANGED,REQUIRED
NVIDIA Hopper HGX for 8-GPU contains a vulnerability in the GPU vBIOS that may allow a malicious actor with tenant level GPU access to write to an unsupported registry causing a bad state. A successful exploit of this vulnerability may lead to denial of service.,NVIDIA,NVIDIA Hopper HGX 8-GPU,MEDIUM,LOW,NETWORK,HIGH,NONE,NONE,HIGH,CHANGED,NONE
NVIDIA nvJPEG2000 library contains a vulnerability where an attacker can cause an out-of-bounds write issue by means of a specially crafted JPEG2000 file. A successful exploit of this vulnerability might lead to code execution and data tampering.,NVIDIA,nvJPEG2000,MEDIUM,HIGH,NETWORK,HIGH,NONE,HIGH,NONE,UNCHANGED,REQUIRED
NVIDIA nvJPEG2000 library contains a vulnerability where an attacker can cause an out-of-bounds write issue by means of a specially crafted JPEG2000 file. A successful exploit of this vulnerability might lead to code execution and data tampering.,NVIDIA,nvJPEG2000,MEDIUM,HIGH,NETWORK,HIGH,NONE,HIGH,NONE,UNCHANGED,REQUIRED
NVIDIA nvJPEG2000 library contains a vulnerability where an attacker can cause a buffer overflow issue by means of a specially crafted JPEG2000 file. A successful exploit of this vulnerability might lead to data tampering.,NVIDIA,nvJPEG2000,MEDIUM,HIGH,NETWORK,HIGH,NONE,HIGH,NONE,UNCHANGED,REQUIRED
NVIDIA nvJPEG2000 library contains a vulnerability where an attacker can cause a heap-based buffer overflow issue by means of a specially crafted JPEG2000 file. A successful exploit of this vulnerability might lead to code execution and data tampering.,NVIDIA,nvJPEG2000,MEDIUM,HIGH,NETWORK,HIGH,NONE,HIGH,NONE,UNCHANGED,REQUIRED
"NVIDIA vGPU software contains a vulnerability in the Virtual GPU Manager, where a malicious guest could cause memory corruption. A successful exploit of this vulnerability might lead to code execution, denial of service, information disclosure, or data tampering.",NVIDIA,NVIDIA vGPU software,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
NVIDIA GPU display driver for Windows and Linux contains a vulnerability where referencing memory after it has been freed can lead to denial of service or data tampering.,NVIDIA,"NVIDIA GPU Display Driver, vGPU software",MEDIUM,LOW,LOCAL,HIGH,NONE,NONE,LOW,UNCHANGED,NONE
"NVIDIA Jetson Linux and IGX OS image contains a vulnerability in the UEFI firmware RCM boot mode, where an unprivileged attacker with physical access to the device could load untrusted code. A successful exploit might lead to code execution, escalation of privileges, data tampering, denial of service, and information disclosure. The scope of the impacts can extend to other components.",NVIDIA,IGX Orin,HIGH,LOW,PHYSICAL,HIGH,HIGH,HIGH,NONE,CHANGED,NONE
NVIDIA GPU Display Driver for Linux contains a vulnerability which could allow an attacker unauthorized access to files. A successful exploit of this vulnerability might lead to limited information disclosure.,NVIDIA,"NVIDIA GPU Display Driver, vGPU software",LOW,LOW,LOCAL,NONE,LOW,NONE,LOW,UNCHANGED,NONE
